2500;2060;2060 (1);2060 (1);2180;2180 (1);2180 (1);1700;1960 (3);2410 (6);1930;1930 (1);2400 (4)
2540;2310;2330 (2);2440 (2);2170;2170 (1);2170 (1);1830;2190 (4);2360 (2);2000;2200 (4);2430 (3)
2680;1910;1910 (1);2610 (8);1930;1930 (1);2250 (2);1650;1880 (3);2680 (5);1570;1570 (1);1890 (2)
2490;1670;1800 (3);1800 (1);1900;1900 (1);2380 (3);1350;1740 (6);2490 (7);1750;1750 (1);1750 (1)
2250;1710;1810 (3);1810 (1);1570;1570 (1);2100 (4);1200;1580 (5);2180 (5);1210;1280 (3);2170 (6)
2450;1490;1550 (2);2030 (3);1810;1810 (1);2110 (2);1420;1420 (1);1420 (1);1470;1470 (1);1700 (2)
1930;810;1010 (2);1800 (5);1750;1750 (1);1810 (2);580;930 (4);1520 (3);1030;1120 (2);1450 (3)
1830;1280;1370 (3);1710 (4);1410;1410 (1);1410 (1);1080;1350 (4);1710 (4);790;870 (3);1830 (6)
1930;1090;1170 (3);1720 (5);1200;1200 (1);1690 (4);830;1290 (4);1550 (4);910;970 (2);1740 (5)
;61590;70680 (24);122910 (18);56280;56280 (1);117770 (22);45810;74190 (26);109680 (14);52810;53910 (6);114020 (23)
;68210;70480 (11);137780 (23);59940;59940 (1);135650 (34);51540;75030 (27);134250 (20);53870;57060 (9);130680 (24)
;59970;67170 (17);109270 (18);51680;51680 (1);113190 (26);44630;71150 (24);121340 (22);50230;56620 (15);115680 (22)
;44690;52670 (14);94900 (16);34930;34930 (1);91240 (17);28880;59070 (32);94760 (20);36310;39760 (15);99200 (18)
;43390;45900 (10);90010 (14);35740;35740 (1);92110 (22);32630;54900 (24);96320 (13);33060;36160 (9);86390 (16)
;40090;45510 (14);99450 (22);32510;32510 (1);96070 (25);26850;52620 (23);85580 (12);31840;34470 (12);94420 (16)
;34480;37920 (14);77030 (15);25830;25830 (1);81140 (15);17610;36510 (17);74790 (15);26240;28480 (7);76090 (19)
;34830;39880 (14);76810 (12);23920;23920 (1);70680 (16);13490;44860 (20);71420 (9);27770;28450 (7);77030 (13)
;33240;37700 (15);77250 (12);23540;23540 (1);73640 (10);19810;42020 (23);80310 (16);29950;31190 (7);78380 (14)
;185800;210010 (32);398540 (36);139740;139740 (1);411530 (40);129770;222800 (56);412590 (44);136250;150580 (22);399890 (33)
;186190;212850 (36);426550 (45);145770;145770 (1);382090 (41);113440;218650 (64);416750 (46);134870;143550 (12);411800 (52)
;181980;201970 (18);434590 (31);153510;153510 (1);438430 (46);150400;219100 (40);421380 (37);132540;144050 (24);424520 (47)
;125810;137350 (24);310930 (25);111680;111680 (1);281010 (24);88130;146790 (42);309170 (23);101540;108260 (11);273750 (23)
;114880;131390 (25);296050 (33);94050;94050 (1);280830 (22);70530;154610 (41);282220 (21);88270;97490 (17);293230 (30)
;125940;143960 (26);298620 (33);99820;99820 (1);293900 (29);83710;151470 (36);310800 (27);88000;99650 (18);307530 (27)
;110060;120580 (12);281340 (19);76640;76640 (1);244060 (17);75230;125860 (30);279540 (19);89770;92630 (12);285920 (29)
;104810;115850 (23);247970 (19);76800;76800 (1);258090 (29);60330;121380 (39);259830 (21);64790;69580 (15);243880 (28)
;102590;115480 (22);270330 (25);77150;77150 (1);239410 (19);71930;126310 (36);278050 (22);82780;85450 (8);269310 (25)
